Strain,Date,Dose (Log10 CFU) ,Total Mice,Mortalities
PABL001,11/2/10,6.379,5,0
PABL001,2/8/10,6.7,5,3
PABL002,11/2/10,6.311,5,0
PABL002,3/29/16,6.4,5,5
PABL002,2/8/10,6.48,5,5
PABL002,3/8/16,6.851,5,5
PABL003,8/15/11,6.114,5,1
PABL003,8/8/11,6.603,5,3
PABL004,2/8/10,5.84,5,0
PABL004,9/14/10,7.217,5,0
PABL004,4/10/12,7.763,5,5
PABL004,2/20/12,8.112,5,5
PABL006,8/8/11,5.947,5,0
PABL006,12/12/11,6.391,5,2
PABL006,7/19/11,6.603,5,3
PABL007,9/13/10,6.438,5,2
PABL007,2/22/10,6.99,5,5
PABL009,8/8/11,6.937,5,0
PABL009,8/15/11,7.314,5,4
PABL010,8/8/11,6.758,5,0
PABL010,8/15/11,7.086,5,0
PABL010,2/14/12,7.79,5,5
PABL011,8/8/11,6.688,5,1
PABL011,8/15/11,7.129,5,2
PABL011,2/27/12,7.785,5,5
PABL012,2/18/13,5.76,5,2
PABL012,2/18/13,6.19,5,4
PABL012,6/13/13,6.48,5,5
PABL012,9/13/10,6.505,5,5
PABL012,8/30/10,6.522,5,5
PABL012,2/18/13,6.56,5,5
PABL012,2/5/13,6.75,5,5
PABL012,4/30/13,6.86,5,5
PABL012,2/1/10,7.16,5,5
PABL013,12/4/17,6.097,5,3
PABL013,12/11/17,6.211,5,2
PABL013,7/24/11,6.35,5,1
PABL013,10/24/17,6.38,5,2
PABL013,12/4/17,6.398,5,5
PABL013,11/7/17,6.531,5,5
PABL013,7/19/11,6.688,5,3
PABL013,2/5/13,6.866,5,5
PABL013,2/5/13,6.866,5,5
PABL014,8/8/11,7.111,5,0
PABL014,7/24/11,7.435,5,5
PABL015,7/19/11,6.818,5,0
PABL015,7/24/11,7.481,5,4
PABL016,2/18/13,6.271,5,2
PABL016,11/2/10,6.311,5,3
PABL016,3/31/14,6.447,5,4
PABL016,3/18/14,6.572,5,4
PABL016,9/24/13,6.602,5,4
PABL016,3/6/14,6.602,5,5
PABL016,7/27/13,6.681,5,5
PABL016,3/5/13,6.699,5,5
PABL016,6/25/13,6.708,5,5
PABL016,2/18/13,6.778,5,5
PABL016,5/29/13,6.816,5,5
